,Date,Counts
213,2020-12-20,522
214,2020-11-29,522
215,2020-12-28,520
216,2020-05-13,518
217,2021-01-12,518
218,2020-12-19,517
219,2021-01-15,517
220,2021-01-05,516
221,2020-10-27,515
222,2020-11-12,513
223,2020-09-29,513
224,2020-12-16,513
225,2020-11-19,511
226,2021-01-10,510
227,2020-11-15,508
228,2020-04-01,508
229,2020-04-03,507
230,2020-11-16,506
231,2021-01-14,505
232,2020-12-09,505
233,2020-12-17,505
234,2020-06-13,502
235,2020-11-22,502
236,2020-12-02,500
237,2020-03-29,499
238,2021-01-04,499
239,2020-05-18,499
240,2020-06-10,497
241,2020-04-20,497
242,2020-11-24,495
243,2020-06-09,494
244,2020-05-21,494
245,2020-11-17,492
246,2021-01-09,491
247,2020-03-20,490
248,2020-05-02,489
249,2020-11-18,488
250,2020-05-03,488
251,2021-01-03,486
252,2020-11-28,485
253,2020-12-12,484
254,2020-12-27,484
255,2020-12-11,484
256,2020-12-24,482
257,2021-01-13,479
258,2020-11-11,478
259,2020-11-30,477
260,2020-11-25,475
261,2021-01-19,473
262,2020-05-10,472
263,2020-03-19,471
264,2020-05-19,470
265,2020-03-28,468
266,2021-01-16,467
267,2020-05-14,466
268,2020-04-28,465
269,2020-11-14,464
270,2020-05-09,463
271,2020-12-03,462
272,2020-05-06,461
273,2021-01-17,460
274,2021-01-11,460
275,2021-01-06,458
276,2020-04-18,457
277,2020-04-07,454
278,2020-12-30,454
279,2020-05-12,452
280,2020-04-06,450
281,2020-05-11,449
282,2020-04-11,446
283,2020-03-30,445
284,2020-04-04,444
285,2020-04-08,443
286,2020-05-08,442
287,2021-01-18,442
288,2020-04-23,440
289,2020-05-17,439
290,2020-03-21,439
291,2020-03-25,438
292,2020-05-04,437
293,2020-04-24,437
294,2021-01-20,434
295,2020-05-05,434
296,2020-04-22,430
297,2020-12-26,427
298,2021-01-02,427
299,2020-04-17,425
300,2020-04-30,425
301,2020-04-10,424
302,2020-03-27,424
303,2020-04-09,424
304,2020-03-24,422
305,2020-04-26,422
306,2020-04-29,422
307,2020-03-26,421
308,2020-05-07,418
309,2020-04-21,417
310,2020-12-29,413
311,2020-04-15,409
312,2020-04-05,405
313,2020-04-16,403
314,2020-04-25,397
315,2020-04-27,397
316,2020-04-13,395
317,2020-12-25,394
318,2020-03-23,393
319,2020-03-31,388
320,2020-04-12,383
321,2020-11-26,382
322,2020-04-02,376
323,2020-03-22,376
324,2020-04-14,363
325,2020-04-19,340
