 PRIMARY DESCRIPTION,Date,Counts
ASSAULT,2020-01-22,52
BATTERY,2020-01-22,110
BURGLARY,2020-01-22,25
CONCEALED CARRY LICENSE VIOLATION,2020-01-22,1
CRIM SEXUAL ASSAULT,2020-01-22,1
CRIMINAL DAMAGE,2020-01-22,43
CRIMINAL SEXUAL ASSAULT,2020-01-22,2
CRIMINAL TRESPASS,2020-01-22,14
DECEPTIVE PRACTICE,2020-01-22,43
HOMICIDE,2020-01-22,1
INTERFERENCE WITH PUBLIC OFFICER,2020-01-22,4
INTIMIDATION,2020-01-22,1
KIDNAPPING,2020-01-22,1
MOTOR VEHICLE THEFT,2020-01-22,19
NARCOTICS,2020-01-22,41
OFFENSE INVOLVING CHILDREN,2020-01-22,14
OTHER OFFENSE,2020-01-22,37
PUBLIC PEACE VIOLATION,2020-01-22,1
ROBBERY,2020-01-22,22
SEX OFFENSE,2020-01-22,5
THEFT,2020-01-22,111
WEAPONS VIOLATION,2020-01-22,9
ASSAULT,2020-01-23,49
BATTERY,2020-01-23,105
BURGLARY,2020-01-23,25
CRIM SEXUAL ASSAULT,2020-01-23,1
CRIMINAL DAMAGE,2020-01-23,37
CRIMINAL SEXUAL ASSAULT,2020-01-23,2
CRIMINAL TRESPASS,2020-01-23,25
DECEPTIVE PRACTICE,2020-01-23,42
HOMICIDE,2020-01-23,1
INTERFERENCE WITH PUBLIC OFFICER,2020-01-23,4
MOTOR VEHICLE THEFT,2020-01-23,12
NARCOTICS,2020-01-23,57
OFFENSE INVOLVING CHILDREN,2020-01-23,6
OTHER NARCOTIC VIOLATION,2020-01-23,1
OTHER OFFENSE,2020-01-23,37
PROSTITUTION,2020-01-23,1
PUBLIC PEACE VIOLATION,2020-01-23,5
ROBBERY,2020-01-23,31
SEX OFFENSE,2020-01-23,4
THEFT,2020-01-23,137
WEAPONS VIOLATION,2020-01-23,9
ASSAULT,2020-01-24,49
BATTERY,2020-01-24,100
BURGLARY,2020-01-24,22
CRIM SEXUAL ASSAULT,2020-01-24,1
CRIMINAL DAMAGE,2020-01-24,62
CRIMINAL SEXUAL ASSAULT,2020-01-24,3
CRIMINAL TRESPASS,2020-01-24,22
DECEPTIVE PRACTICE,2020-01-24,49
HOMICIDE,2020-01-24,1
INTERFERENCE WITH PUBLIC OFFICER,2020-01-24,4
KIDNAPPING,2020-01-24,2
MOTOR VEHICLE THEFT,2020-01-24,19
NARCOTICS,2020-01-24,34
OFFENSE INVOLVING CHILDREN,2020-01-24,13
OTHER OFFENSE,2020-01-24,49
PROSTITUTION,2020-01-24,2
PUBLIC PEACE VIOLATION,2020-01-24,8
ROBBERY,2020-01-24,23
SEX OFFENSE,2020-01-24,1
STALKING,2020-01-24,1
THEFT,2020-01-24,172
WEAPONS VIOLATION,2020-01-24,20
ASSAULT,2020-01-25,43
BATTERY,2020-01-25,129
BURGLARY,2020-01-25,28
CONCEALED CARRY LICENSE VIOLATION,2020-01-25,1
CRIMINAL DAMAGE,2020-01-25,48
CRIMINAL SEXUAL ASSAULT,2020-01-25,4
CRIMINAL TRESPASS,2020-01-25,14
DECEPTIVE PRACTICE,2020-01-25,53
HOMICIDE,2020-01-25,1
INTERFERENCE WITH PUBLIC OFFICER,2020-01-25,4
KIDNAPPING,2020-01-25,3
LIQUOR LAW VIOLATION,2020-01-25,2
MOTOR VEHICLE THEFT,2020-01-25,16
NARCOTICS,2020-01-25,52
OFFENSE INVOLVING CHILDREN,2020-01-25,6
OTHER OFFENSE,2020-01-25,52
PROSTITUTION,2020-01-25,7
PUBLIC PEACE VIOLATION,2020-01-25,6
ROBBERY,2020-01-25,25
SEX OFFENSE,2020-01-25,4
THEFT,2020-01-25,142
WEAPONS VIOLATION,2020-01-25,22
ASSAULT,2020-01-26,44
BATTERY,2020-01-26,128
BURGLARY,2020-01-26,16
CONCEALED CARRY LICENSE VIOLATION,2020-01-26,1
CRIM SEXUAL ASSAULT,2020-01-26,2
CRIMINAL DAMAGE,2020-01-26,50
CRIMINAL SEXUAL ASSAULT,2020-01-26,7
CRIMINAL TRESPASS,2020-01-26,22
DECEPTIVE PRACTICE,2020-01-26,38
HOMICIDE,2020-01-26,1
INTERFERENCE WITH PUBLIC OFFICER,2020-01-26,4
INTIMIDATION,2020-01-26,1
KIDNAPPING,2020-01-26,1
MOTOR VEHICLE THEFT,2020-01-26,23
NARCOTICS,2020-01-26,32
OFFENSE INVOLVING CHILDREN,2020-01-26,6
OTHER OFFENSE,2020-01-26,42
PROSTITUTION,2020-01-26,9
PUBLIC PEACE VIOLATION,2020-01-26,2
ROBBERY,2020-01-26,26
SEX OFFENSE,2020-01-26,3
THEFT,2020-01-26,127
WEAPONS VIOLATION,2020-01-26,20
ASSAULT,2020-01-27,53
BATTERY,2020-01-27,132
BURGLARY,2020-01-27,23
CRIM SEXUAL ASSAULT,2020-01-27,1
CRIMINAL DAMAGE,2020-01-27,56
CRIMINAL SEXUAL ASSAULT,2020-01-27,3
CRIMINAL TRESPASS,2020-01-27,14
DECEPTIVE PRACTICE,2020-01-27,63
HOMICIDE,2020-01-27,1
INTERFERENCE WITH PUBLIC OFFICER,2020-01-27,4
MOTOR VEHICLE THEFT,2020-01-27,23
NARCOTICS,2020-01-27,43
OFFENSE INVOLVING CHILDREN,2020-01-27,7
OTHER OFFENSE,2020-01-27,59
PROSTITUTION,2020-01-27,1
PUBLIC PEACE VIOLATION,2020-01-27,3
ROBBERY,2020-01-27,13
SEX OFFENSE,2020-01-27,4
THEFT,2020-01-27,171
WEAPONS VIOLATION,2020-01-27,18
ASSAULT,2020-01-28,46
BATTERY,2020-01-28,121
BURGLARY,2020-01-28,31
CRIM SEXUAL ASSAULT,2020-01-28,1
CRIMINAL DAMAGE,2020-01-28,53
CRIMINAL SEXUAL ASSAULT,2020-01-28,4
CRIMINAL TRESPASS,2020-01-28,19
DECEPTIVE PRACTICE,2020-01-28,40
HOMICIDE,2020-01-28,3
INTERFERENCE WITH PUBLIC OFFICER,2020-01-28,5
KIDNAPPING,2020-01-28,3
MOTOR VEHICLE THEFT,2020-01-28,18
NARCOTICS,2020-01-28,49
OFFENSE INVOLVING CHILDREN,2020-01-28,11
OTHER OFFENSE,2020-01-28,48
PUBLIC PEACE VIOLATION,2020-01-28,5
ROBBERY,2020-01-28,39
STALKING,2020-01-28,1
THEFT,2020-01-28,158
WEAPONS VIOLATION,2020-01-28,18
ASSAULT,2020-01-29,52
BATTERY,2020-01-29,90
BURGLARY,2020-01-29,27
CRIM SEXUAL ASSAULT,2020-01-29,1
CRIMINAL DAMAGE,2020-01-29,55
CRIMINAL SEXUAL ASSAULT,2020-01-29,1
CRIMINAL TRESPASS,2020-01-29,23
DECEPTIVE PRACTICE,2020-01-29,47
HOMICIDE,2020-01-29,1
INTERFERENCE WITH PUBLIC OFFICER,2020-01-29,7
MOTOR VEHICLE THEFT,2020-01-29,13
NARCOTICS,2020-01-29,43
OBSCENITY,2020-01-29,2
OFFENSE INVOLVING CHILDREN,2020-01-29,8
OTHER OFFENSE,2020-01-29,48
PROSTITUTION,2020-01-29,1
PUBLIC PEACE VIOLATION,2020-01-29,6
ROBBERY,2020-01-29,20
SEX OFFENSE,2020-01-29,5
THEFT,2020-01-29,155
WEAPONS VIOLATION,2020-01-29,11
ARSON,2020-01-30,1
ASSAULT,2020-01-30,49
BATTERY,2020-01-30,98
BURGLARY,2020-01-30,22
CONCEALED CARRY LICENSE VIOLATION,2020-01-30,1
CRIM SEXUAL ASSAULT,2020-01-30,2
CRIMINAL DAMAGE,2020-01-30,68
CRIMINAL SEXUAL ASSAULT,2020-01-30,1
CRIMINAL TRESPASS,2020-01-30,19
DECEPTIVE PRACTICE,2020-01-30,36
INTERFERENCE WITH PUBLIC OFFICER,2020-01-30,4
MOTOR VEHICLE THEFT,2020-01-30,25
NARCOTICS,2020-01-30,51
OFFENSE INVOLVING CHILDREN,2020-01-30,6
OTHER OFFENSE,2020-01-30,46
PROSTITUTION,2020-01-30,1
PUBLIC PEACE VIOLATION,2020-01-30,3
ROBBERY,2020-01-30,25
SEX OFFENSE,2020-01-30,2
THEFT,2020-01-30,142
WEAPONS VIOLATION,2020-01-30,10
ASSAULT,2020-01-31,48
BATTERY,2020-01-31,128
BURGLARY,2020-01-31,24
CONCEALED CARRY LICENSE VIOLATION,2020-01-31,1
CRIM SEXUAL ASSAULT,2020-01-31,1
CRIMINAL DAMAGE,2020-01-31,66
CRIMINAL SEXUAL ASSAULT,2020-01-31,3
CRIMINAL TRESPASS,2020-01-31,22
DECEPTIVE PRACTICE,2020-01-31,55
INTERFERENCE WITH PUBLIC OFFICER,2020-01-31,8
MOTOR VEHICLE THEFT,2020-01-31,22
NARCOTICS,2020-01-31,53
OFFENSE INVOLVING CHILDREN,2020-01-31,8
OTHER OFFENSE,2020-01-31,45
PUBLIC PEACE VIOLATION,2020-01-31,6
ROBBERY,2020-01-31,29
SEX OFFENSE,2020-01-31,3
STALKING,2020-01-31,1
THEFT,2020-01-31,164
WEAPONS VIOLATION,2020-01-31,15
ASSAULT,2020-02-01,56
BATTERY,2020-02-01,139
BURGLARY,2020-02-01,27
CRIM SEXUAL ASSAULT,2020-02-01,2
CRIMINAL DAMAGE,2020-02-01,81
CRIMINAL SEXUAL ASSAULT,2020-02-01,7
CRIMINAL TRESPASS,2020-02-01,18
DECEPTIVE PRACTICE,2020-02-01,72
HOMICIDE,2020-02-01,2
INTERFERENCE WITH PUBLIC OFFICER,2020-02-01,6
INTIMIDATION,2020-02-01,1
LIQUOR LAW VIOLATION,2020-02-01,1
MOTOR VEHICLE THEFT,2020-02-01,29
NARCOTICS,2020-02-01,37
OFFENSE INVOLVING CHILDREN,2020-02-01,8
OTHER OFFENSE,2020-02-01,48
PROSTITUTION,2020-02-01,1
PUBLIC INDECENCY,2020-02-01,1
PUBLIC PEACE VIOLATION,2020-02-01,8
ROBBERY,2020-02-01,22
SEX OFFENSE,2020-02-01,10
STALKING,2020-02-01,1
THEFT,2020-02-01,188
WEAPONS VIOLATION,2020-02-01,21
ARSON,2020-02-02,2
ASSAULT,2020-02-02,50
BATTERY,2020-02-02,175
BURGLARY,2020-02-02,20
CRIM SEXUAL ASSAULT,2020-02-02,1
CRIMINAL DAMAGE,2020-02-02,80
CRIMINAL SEXUAL ASSAULT,2020-02-02,1
CRIMINAL TRESPASS,2020-02-02,8
DECEPTIVE PRACTICE,2020-02-02,30
HOMICIDE,2020-02-02,2
INTERFERENCE WITH PUBLIC OFFICER,2020-02-02,3
INTIMIDATION,2020-02-02,1
LIQUOR LAW VIOLATION,2020-02-02,1
MOTOR VEHICLE THEFT,2020-02-02,20
NARCOTICS,2020-02-02,35
OBSCENITY,2020-02-02,1
OFFENSE INVOLVING CHILDREN,2020-02-02,3
OTHER OFFENSE,2020-02-02,37
PROSTITUTION,2020-02-02,1
PUBLIC PEACE VIOLATION,2020-02-02,3
ROBBERY,2020-02-02,27
THEFT,2020-02-02,144
WEAPONS VIOLATION,2020-02-02,17
ARSON,2020-02-03,1
ASSAULT,2020-02-03,55
BATTERY,2020-02-03,118
BURGLARY,2020-02-03,31
CONCEALED CARRY LICENSE VIOLATION,2020-02-03,1
CRIM SEXUAL ASSAULT,2020-02-03,2
CRIMINAL DAMAGE,2020-02-03,81
CRIMINAL SEXUAL ASSAULT,2020-02-03,3
CRIMINAL TRESPASS,2020-02-03,27
DECEPTIVE PRACTICE,2020-02-03,49
HOMICIDE,2020-02-03,1
INTERFERENCE WITH PUBLIC OFFICER,2020-02-03,2
MOTOR VEHICLE THEFT,2020-02-03,26
NARCOTICS,2020-02-03,55
OFFENSE INVOLVING CHILDREN,2020-02-03,11
OTHER OFFENSE,2020-02-03,45
PUBLIC PEACE VIOLATION,2020-02-03,1
ROBBERY,2020-02-03,25
SEX OFFENSE,2020-02-03,3
STALKING,2020-02-03,2
THEFT,2020-02-03,180
WEAPONS VIOLATION,2020-02-03,23
ASSAULT,2020-02-04,54
BATTERY,2020-02-04,112
BURGLARY,2020-02-04,24
CONCEALED CARRY LICENSE VIOLATION,2020-02-04,2
CRIMINAL DAMAGE,2020-02-04,61
CRIMINAL SEXUAL ASSAULT,2020-02-04,2
CRIMINAL TRESPASS,2020-02-04,13
DECEPTIVE PRACTICE,2020-02-04,39
HOMICIDE,2020-02-04,1
INTERFERENCE WITH PUBLIC OFFICER,2020-02-04,6
INTIMIDATION,2020-02-04,1
LIQUOR LAW VIOLATION,2020-02-04,1
MOTOR VEHICLE THEFT,2020-02-04,20
NARCOTICS,2020-02-04,60
OFFENSE INVOLVING CHILDREN,2020-02-04,10
OTHER OFFENSE,2020-02-04,54
PROSTITUTION,2020-02-04,1
PUBLIC PEACE VIOLATION,2020-02-04,4
ROBBERY,2020-02-04,22
SEX OFFENSE,2020-02-04,3
THEFT,2020-02-04,136
WEAPONS VIOLATION,2020-02-04,17
ASSAULT,2020-02-05,46
BATTERY,2020-02-05,106
BURGLARY,2020-02-05,23
CRIM SEXUAL ASSAULT,2020-02-05,3
CRIMINAL DAMAGE,2020-02-05,39
CRIMINAL SEXUAL ASSAULT,2020-02-05,3
CRIMINAL TRESPASS,2020-02-05,17
DECEPTIVE PRACTICE,2020-02-05,46
HOMICIDE,2020-02-05,1
INTERFERENCE WITH PUBLIC OFFICER,2020-02-05,3
INTIMIDATION,2020-02-05,2
LIQUOR LAW VIOLATION,2020-02-05,1
MOTOR VEHICLE THEFT,2020-02-05,29
NARCOTICS,2020-02-05,46
OFFENSE INVOLVING CHILDREN,2020-02-05,5
OTHER OFFENSE,2020-02-05,43
PROSTITUTION,2020-02-05,2
PUBLIC PEACE VIOLATION,2020-02-05,2
ROBBERY,2020-02-05,19
SEX OFFENSE,2020-02-05,1
THEFT,2020-02-05,182
WEAPONS VIOLATION,2020-02-05,8
ASSAULT,2020-02-06,37
BATTERY,2020-02-06,98
BURGLARY,2020-02-06,21
CONCEALED CARRY LICENSE VIOLATION,2020-02-06,1
CRIM SEXUAL ASSAULT,2020-02-06,1
CRIMINAL DAMAGE,2020-02-06,46
CRIMINAL SEXUAL ASSAULT,2020-02-06,1
CRIMINAL TRESPASS,2020-02-06,15
DECEPTIVE PRACTICE,2020-02-06,41
HOMICIDE,2020-02-06,1
INTERFERENCE WITH PUBLIC OFFICER,2020-02-06,3
KIDNAPPING,2020-02-06,1
MOTOR VEHICLE THEFT,2020-02-06,16
NARCOTICS,2020-02-06,44
OFFENSE INVOLVING CHILDREN,2020-02-06,4
OTHER OFFENSE,2020-02-06,40
PROSTITUTION,2020-02-06,1
PUBLIC INDECENCY,2020-02-06,1
PUBLIC PEACE VIOLATION,2020-02-06,4
ROBBERY,2020-02-06,24
SEX OFFENSE,2020-02-06,3
STALKING,2020-02-06,1
THEFT,2020-02-06,142
WEAPONS VIOLATION,2020-02-06,7
ARSON,2020-02-07,2
ASSAULT,2020-02-07,58
BATTERY,2020-02-07,119
BURGLARY,2020-02-07,22
CONCEALED CARRY LICENSE VIOLATION,2020-02-07,1
CRIMINAL DAMAGE,2020-02-07,58
CRIMINAL SEXUAL ASSAULT,2020-02-07,4
CRIMINAL TRESPASS,2020-02-07,23
DECEPTIVE PRACTICE,2020-02-07,60
HOMICIDE,2020-02-07,2
INTERFERENCE WITH PUBLIC OFFICER,2020-02-07,5
LIQUOR LAW VIOLATION,2020-02-07,1
MOTOR VEHICLE THEFT,2020-02-07,16
NARCOTICS,2020-02-07,51
OFFENSE INVOLVING CHILDREN,2020-02-07,7
OTHER OFFENSE,2020-02-07,54
PUBLIC PEACE VIOLATION,2020-02-07,2
ROBBERY,2020-02-07,23
SEX OFFENSE,2020-02-07,4
THEFT,2020-02-07,163
WEAPONS VIOLATION,2020-02-07,17
ARSON,2020-02-08,1
ASSAULT,2020-02-08,42
BATTERY,2020-02-08,125
BURGLARY,2020-02-08,14
CONCEALED CARRY LICENSE VIOLATION,2020-02-08,2
CRIM SEXUAL ASSAULT,2020-02-08,2
CRIMINAL DAMAGE,2020-02-08,67
CRIMINAL SEXUAL ASSAULT,2020-02-08,3
CRIMINAL TRESPASS,2020-02-08,16
DECEPTIVE PRACTICE,2020-02-08,36
HOMICIDE,2020-02-08,5
INTERFERENCE WITH PUBLIC OFFICER,2020-02-08,5
INTIMIDATION,2020-02-08,1
LIQUOR LAW VIOLATION,2020-02-08,1
MOTOR VEHICLE THEFT,2020-02-08,32
NARCOTICS,2020-02-08,33
OFFENSE INVOLVING CHILDREN,2020-02-08,6
OTHER OFFENSE,2020-02-08,43
PUBLIC PEACE VIOLATION,2020-02-08,1
ROBBERY,2020-02-08,22
SEX OFFENSE,2020-02-08,3
THEFT,2020-02-08,140
WEAPONS VIOLATION,2020-02-08,24
ARSON,2020-02-09,5
ASSAULT,2020-02-09,32
BATTERY,2020-02-09,132
BURGLARY,2020-02-09,30
CRIM SEXUAL ASSAULT,2020-02-09,1
CRIMINAL DAMAGE,2020-02-09,49
CRIMINAL SEXUAL ASSAULT,2020-02-09,6
CRIMINAL TRESPASS,2020-02-09,16
DECEPTIVE PRACTICE,2020-02-09,26
HOMICIDE,2020-02-09,3
INTERFERENCE WITH PUBLIC OFFICER,2020-02-09,6
KIDNAPPING,2020-02-09,1
MOTOR VEHICLE THEFT,2020-02-09,21
NARCOTICS,2020-02-09,34
OFFENSE INVOLVING CHILDREN,2020-02-09,5
OTHER OFFENSE,2020-02-09,31
PROSTITUTION,2020-02-09,1
PUBLIC PEACE VIOLATION,2020-02-09,3
ROBBERY,2020-02-09,22
SEX OFFENSE,2020-02-09,2
THEFT,2020-02-09,120
WEAPONS VIOLATION,2020-02-09,13
ASSAULT,2020-02-10,44
BATTERY,2020-02-10,113
BURGLARY,2020-02-10,24
CONCEALED CARRY LICENSE VIOLATION,2020-02-10,1
CRIM SEXUAL ASSAULT,2020-02-10,1
CRIMINAL DAMAGE,2020-02-10,55
CRIMINAL SEXUAL ASSAULT,2020-02-10,2
CRIMINAL TRESPASS,2020-02-10,19
DECEPTIVE PRACTICE,2020-02-10,52
HUMAN TRAFFICKING,2020-02-10,1
INTERFERENCE WITH PUBLIC OFFICER,2020-02-10,4
MOTOR VEHICLE THEFT,2020-02-10,23
NARCOTICS,2020-02-10,43
OFFENSE INVOLVING CHILDREN,2020-02-10,13
OTHER OFFENSE,2020-02-10,50
PROSTITUTION,2020-02-10,1
PUBLIC PEACE VIOLATION,2020-02-10,2
ROBBERY,2020-02-10,27
SEX OFFENSE,2020-02-10,4
THEFT,2020-02-10,132
WEAPONS VIOLATION,2020-02-10,15
ARSON,2020-02-11,2
ASSAULT,2020-02-11,45
BATTERY,2020-02-11,115
BURGLARY,2020-02-11,20
CRIM SEXUAL ASSAULT,2020-02-11,1
CRIMINAL DAMAGE,2020-02-11,50
CRIMINAL SEXUAL ASSAULT,2020-02-11,3
CRIMINAL TRESPASS,2020-02-11,31
DECEPTIVE PRACTICE,2020-02-11,52
INTERFERENCE WITH PUBLIC OFFICER,2020-02-11,2
INTIMIDATION,2020-02-11,2
KIDNAPPING,2020-02-11,5
LIQUOR LAW VIOLATION,2020-02-11,2
MOTOR VEHICLE THEFT,2020-02-11,22
NARCOTICS,2020-02-11,45
OFFENSE INVOLVING CHILDREN,2020-02-11,6
OTHER OFFENSE,2020-02-11,45
PUBLIC PEACE VIOLATION,2020-02-11,8
ROBBERY,2020-02-11,21
SEX OFFENSE,2020-02-11,1
STALKING,2020-02-11,1
THEFT,2020-02-11,139
WEAPONS VIOLATION,2020-02-11,15
ARSON,2020-02-12,1
ASSAULT,2020-02-12,66
BATTERY,2020-02-12,83
BURGLARY,2020-02-12,31
CRIMINAL DAMAGE,2020-02-12,53
CRIMINAL SEXUAL ASSAULT,2020-02-12,3
CRIMINAL TRESPASS,2020-02-12,19
DECEPTIVE PRACTICE,2020-02-12,46
HOMICIDE,2020-02-12,1
INTERFERENCE WITH PUBLIC OFFICER,2020-02-12,6
MOTOR VEHICLE THEFT,2020-02-12,16
NARCOTICS,2020-02-12,37
OFFENSE INVOLVING CHILDREN,2020-02-12,5
OTHER OFFENSE,2020-02-12,48
PROSTITUTION,2020-02-12,4
PUBLIC PEACE VIOLATION,2020-02-12,2
ROBBERY,2020-02-12,22
SEX OFFENSE,2020-02-12,7
THEFT,2020-02-12,163
WEAPONS VIOLATION,2020-02-12,11
ASSAULT,2020-02-13,42
BATTERY,2020-02-13,94
BURGLARY,2020-02-13,17
CRIMINAL DAMAGE,2020-02-13,64
CRIMINAL SEXUAL ASSAULT,2020-02-13,5
CRIMINAL TRESPASS,2020-02-13,19
DECEPTIVE PRACTICE,2020-02-13,44
HOMICIDE,2020-02-13,1
INTERFERENCE WITH PUBLIC OFFICER,2020-02-13,1
MOTOR VEHICLE THEFT,2020-02-13,21
NARCOTICS,2020-02-13,36
OFFENSE INVOLVING CHILDREN,2020-02-13,4
OTHER OFFENSE,2020-02-13,41
ROBBERY,2020-02-13,21
SEX OFFENSE,2020-02-13,2
THEFT,2020-02-13,121
WEAPONS VIOLATION,2020-02-13,9
ASSAULT,2020-02-14,44
BATTERY,2020-02-14,107
BURGLARY,2020-02-14,17
CRIM SEXUAL ASSAULT,2020-02-14,4
CRIMINAL DAMAGE,2020-02-14,51
CRIMINAL SEXUAL ASSAULT,2020-02-14,2
CRIMINAL TRESPASS,2020-02-14,8
DECEPTIVE PRACTICE,2020-02-14,56
HOMICIDE,2020-02-14,1
INTERFERENCE WITH PUBLIC OFFICER,2020-02-14,1
INTIMIDATION,2020-02-14,1
MOTOR VEHICLE THEFT,2020-02-14,26
NARCOTICS,2020-02-14,28
OFFENSE INVOLVING CHILDREN,2020-02-14,7
OTHER OFFENSE,2020-02-14,39
PUBLIC PEACE VIOLATION,2020-02-14,3
ROBBERY,2020-02-14,20
SEX OFFENSE,2020-02-14,3
THEFT,2020-02-14,156
WEAPONS VIOLATION,2020-02-14,8
ARSON,2020-02-15,2
ASSAULT,2020-02-15,42
BATTERY,2020-02-15,123
BURGLARY,2020-02-15,14
CRIM SEXUAL ASSAULT,2020-02-15,1
CRIMINAL DAMAGE,2020-02-15,73
CRIMINAL SEXUAL ASSAULT,2020-02-15,3
CRIMINAL TRESPASS,2020-02-15,18
DECEPTIVE PRACTICE,2020-02-15,34
INTERFERENCE WITH PUBLIC OFFICER,2020-02-15,2
INTIMIDATION,2020-02-15,1
LIQUOR LAW VIOLATION,2020-02-15,1
MOTOR VEHICLE THEFT,2020-02-15,25
NARCOTICS,2020-02-15,27
OFFENSE INVOLVING CHILDREN,2020-02-15,7
OTHER OFFENSE,2020-02-15,41
PUBLIC PEACE VIOLATION,2020-02-15,1
ROBBERY,2020-02-15,17
SEX OFFENSE,2020-02-15,2
THEFT,2020-02-15,142
WEAPONS VIOLATION,2020-02-15,15
ARSON,2020-02-16,1
ASSAULT,2020-02-16,40
BATTERY,2020-02-16,142
BURGLARY,2020-02-16,15
CONCEALED CARRY LICENSE VIOLATION,2020-02-16,1
CRIMINAL DAMAGE,2020-02-16,59
CRIMINAL SEXUAL ASSAULT,2020-02-16,3
CRIMINAL TRESPASS,2020-02-16,21
DECEPTIVE PRACTICE,2020-02-16,41
HOMICIDE,2020-02-16,3
INTERFERENCE WITH PUBLIC OFFICER,2020-02-16,2
INTIMIDATION,2020-02-16,1
LIQUOR LAW VIOLATION,2020-02-16,1
MOTOR VEHICLE THEFT,2020-02-16,28
NARCOTICS,2020-02-16,30
OFFENSE INVOLVING CHILDREN,2020-02-16,5
OTHER OFFENSE,2020-02-16,40
PUBLIC PEACE VIOLATION,2020-02-16,2
ROBBERY,2020-02-16,26
SEX OFFENSE,2020-02-16,4
STALKING,2020-02-16,2
THEFT,2020-02-16,122
WEAPONS VIOLATION,2020-02-16,26
ARSON,2020-02-17,3
ASSAULT,2020-02-17,47
BATTERY,2020-02-17,112
BURGLARY,2020-02-17,16
CRIM SEXUAL ASSAULT,2020-02-17,1
CRIMINAL DAMAGE,2020-02-17,70
CRIMINAL SEXUAL ASSAULT,2020-02-17,3
CRIMINAL TRESPASS,2020-02-17,19
DECEPTIVE PRACTICE,2020-02-17,37
HOMICIDE,2020-02-17,1
INTERFERENCE WITH PUBLIC OFFICER,2020-02-17,8
INTIMIDATION,2020-02-17,1
LIQUOR LAW VIOLATION,2020-02-17,2
MOTOR VEHICLE THEFT,2020-02-17,19
NARCOTICS,2020-02-17,37
OFFENSE INVOLVING CHILDREN,2020-02-17,4
OTHER OFFENSE,2020-02-17,44
PUBLIC PEACE VIOLATION,2020-02-17,4
ROBBERY,2020-02-17,19
SEX OFFENSE,2020-02-17,2
THEFT,2020-02-17,131
WEAPONS VIOLATION,2020-02-17,16
ARSON,2020-02-18,1
ASSAULT,2020-02-18,52
BATTERY,2020-02-18,136
BURGLARY,2020-02-18,24
CRIMINAL DAMAGE,2020-02-18,58
CRIMINAL SEXUAL ASSAULT,2020-02-18,3
CRIMINAL TRESPASS,2020-02-18,20
DECEPTIVE PRACTICE,2020-02-18,48
INTERFERENCE WITH PUBLIC OFFICER,2020-02-18,4
LIQUOR LAW VIOLATION,2020-02-18,1
MOTOR VEHICLE THEFT,2020-02-18,20
NARCOTICS,2020-02-18,38
OFFENSE INVOLVING CHILDREN,2020-02-18,10
OTHER OFFENSE,2020-02-18,41
PUBLIC PEACE VIOLATION,2020-02-18,3
ROBBERY,2020-02-18,16
SEX OFFENSE,2020-02-18,3
THEFT,2020-02-18,171
WEAPONS VIOLATION,2020-02-18,8
ARSON,2020-02-19,2
ASSAULT,2020-02-19,49
BATTERY,2020-02-19,105
BURGLARY,2020-02-19,28
CRIM SEXUAL ASSAULT,2020-02-19,1
CRIMINAL DAMAGE,2020-02-19,46
CRIMINAL SEXUAL ASSAULT,2020-02-19,1
CRIMINAL TRESPASS,2020-02-19,21
DECEPTIVE PRACTICE,2020-02-19,40
HOMICIDE,2020-02-19,1
INTERFERENCE WITH PUBLIC OFFICER,2020-02-19,6
MOTOR VEHICLE THEFT,2020-02-19,24
NARCOTICS,2020-02-19,31
OFFENSE INVOLVING CHILDREN,2020-02-19,9
OTHER OFFENSE,2020-02-19,31
PUBLIC PEACE VIOLATION,2020-02-19,1
ROBBERY,2020-02-19,27
SEX OFFENSE,2020-02-19,4
THEFT,2020-02-19,130
WEAPONS VIOLATION,2020-02-19,19
ARSON,2020-02-20,2
ASSAULT,2020-02-20,36
BATTERY,2020-02-20,89
BURGLARY,2020-02-20,14
CONCEALED CARRY LICENSE VIOLATION,2020-02-20,1
CRIM SEXUAL ASSAULT,2020-02-20,1
CRIMINAL DAMAGE,2020-02-20,53
CRIMINAL SEXUAL ASSAULT,2020-02-20,4
CRIMINAL TRESPASS,2020-02-20,10
DECEPTIVE PRACTICE,2020-02-20,44
HOMICIDE,2020-02-20,1
INTERFERENCE WITH PUBLIC OFFICER,2020-02-20,6
MOTOR VEHICLE THEFT,2020-02-20,27
NARCOTICS,2020-02-20,42
OFFENSE INVOLVING CHILDREN,2020-02-20,6
OTHER OFFENSE,2020-02-20,61
PROSTITUTION,2020-02-20,3
PUBLIC PEACE VIOLATION,2020-02-20,1
ROBBERY,2020-02-20,22
SEX OFFENSE,2020-02-20,3
STALKING,2020-02-20,2
THEFT,2020-02-20,152
WEAPONS VIOLATION,2020-02-20,16
ARSON,2020-02-21,1
ASSAULT,2020-02-21,56
BATTERY,2020-02-21,103
BURGLARY,2020-02-21,27
CONCEALED CARRY LICENSE VIOLATION,2020-02-21,1
CRIM SEXUAL ASSAULT,2020-02-21,3
CRIMINAL DAMAGE,2020-02-21,60
CRIMINAL SEXUAL ASSAULT,2020-02-21,1
CRIMINAL TRESPASS,2020-02-21,14
DECEPTIVE PRACTICE,2020-02-21,37
HOMICIDE,2020-02-21,2
INTERFERENCE WITH PUBLIC OFFICER,2020-02-21,8
KIDNAPPING,2020-02-21,2
