, PRIMARY DESCRIPTION,Date,Counts,Cases - Total
1336,ASSAULT,2020-05-11,34,1014
1337,BATTERY,2020-05-11,81,1014
1338,BURGLARY,2020-05-11,18,1014
1339,CONCEALED CARRY LICENSE VIOLATION,2020-05-11,1,1014
1340,CRIMINAL DAMAGE,2020-05-11,66,1014
1341,CRIMINAL SEXUAL ASSAULT,2020-05-11,2,1014
1342,CRIMINAL TRESPASS,2020-05-11,11,1014
1343,DECEPTIVE PRACTICE,2020-05-11,33,1014
1344,HOMICIDE,2020-05-11,1,1014
1345,MOTOR VEHICLE THEFT,2020-05-11,18,1014
1346,NARCOTICS,2020-05-11,13,1014
1347,OFFENSE INVOLVING CHILDREN,2020-05-11,3,1014
1348,OTHER OFFENSE,2020-05-11,29,1014
1349,ROBBERY,2020-05-11,15,1014
1350,SEX OFFENSE,2020-05-11,2,1014
1351,STALKING,2020-05-11,1,1014
1352,THEFT,2020-05-11,97,1014
1353,WEAPONS VIOLATION,2020-05-11,20,1014
1354,ASSAULT,2020-05-12,44,945
1355,BATTERY,2020-05-12,95,945
1356,BURGLARY,2020-05-12,22,945
1357,CRIMINAL DAMAGE,2020-05-12,68,945
1358,CRIMINAL TRESPASS,2020-05-12,10,945
1359,DECEPTIVE PRACTICE,2020-05-12,22,945
1360,HOMICIDE,2020-05-12,2,945
1361,INTERFERENCE WITH PUBLIC OFFICER,2020-05-12,1,945
1362,INTIMIDATION,2020-05-12,1,945
1363,KIDNAPPING,2020-05-12,1,945
1364,MOTOR VEHICLE THEFT,2020-05-12,13,945
1365,NARCOTICS,2020-05-12,16,945
1366,OBSCENITY,2020-05-12,1,945
1367,OFFENSE INVOLVING CHILDREN,2020-05-12,4,945
1368,OTHER OFFENSE,2020-05-12,20,945
1369,PUBLIC PEACE VIOLATION,2020-05-12,5,945
1370,ROBBERY,2020-05-12,15,945
1371,THEFT,2020-05-12,89,945
1372,WEAPONS VIOLATION,2020-05-12,20,945
1373,ARSON,2020-05-13,1,876
1374,ASSAULT,2020-05-13,47,876
1375,BATTERY,2020-05-13,120,876
1376,BURGLARY,2020-05-13,18,876
1377,CRIMINAL DAMAGE,2020-05-13,59,876
1378,CRIMINAL SEXUAL ASSAULT,2020-05-13,4,876
1379,CRIMINAL TRESPASS,2020-05-13,9,876
1380,DECEPTIVE PRACTICE,2020-05-13,42,876
1381,HOMICIDE,2020-05-13,2,876
1382,INTERFERENCE WITH PUBLIC OFFICER,2020-05-13,1,876
1383,MOTOR VEHICLE THEFT,2020-05-13,26,876
1384,NARCOTICS,2020-05-13,12,876
1385,OFFENSE INVOLVING CHILDREN,2020-05-13,1,876
1386,OTHER OFFENSE,2020-05-13,19,876
1387,PROSTITUTION,2020-05-13,1,876
1388,PUBLIC PEACE VIOLATION,2020-05-13,2,876
1389,ROBBERY,2020-05-13,16,876
1390,SEX OFFENSE,2020-05-13,1,876
1391,STALKING,2020-05-13,1,876
1392,THEFT,2020-05-13,100,876
1393,WEAPONS VIOLATION,2020-05-13,31,876
1394,ASSAULT,2020-05-14,37,775
1395,BATTERY,2020-05-14,97,775
1396,BURGLARY,2020-05-14,17,775
1397,CRIMINAL DAMAGE,2020-05-14,70,775
1398,CRIMINAL SEXUAL ASSAULT,2020-05-14,2,775
1399,CRIMINAL TRESPASS,2020-05-14,7,775
1400,DECEPTIVE PRACTICE,2020-05-14,34,775
1401,INTIMIDATION,2020-05-14,3,775
1402,MOTOR VEHICLE THEFT,2020-05-14,25,775
1403,NARCOTICS,2020-05-14,17,775
1404,OFFENSE INVOLVING CHILDREN,2020-05-14,4,775
1405,OTHER OFFENSE,2020-05-14,23,775
1406,PUBLIC PEACE VIOLATION,2020-05-14,1,775
1407,ROBBERY,2020-05-14,16,775
1408,SEX OFFENSE,2020-05-14,4,775
1409,STALKING,2020-05-14,1,775
1410,THEFT,2020-05-14,89,775
1411,WEAPONS VIOLATION,2020-05-14,18,775
1412,ASSAULT,2020-05-15,62,970
1413,BATTERY,2020-05-15,109,970
1414,BURGLARY,2020-05-15,21,970
1415,CRIMINAL DAMAGE,2020-05-15,65,970
1416,CRIMINAL SEXUAL ASSAULT,2020-05-15,1,970
1417,CRIMINAL TRESPASS,2020-05-15,12,970
1418,DECEPTIVE PRACTICE,2020-05-15,39,970
1419,GAMBLING,2020-05-15,1,970
1420,HOMICIDE,2020-05-15,2,970
1421,INTERFERENCE WITH PUBLIC OFFICER,2020-05-15,1,970
1422,MOTOR VEHICLE THEFT,2020-05-15,24,970
1423,NARCOTICS,2020-05-15,23,970
1424,OBSCENITY,2020-05-15,1,970
1425,OFFENSE INVOLVING CHILDREN,2020-05-15,5,970
1426,OTHER OFFENSE,2020-05-15,29,970
1427,PUBLIC PEACE VIOLATION,2020-05-15,3,970
1428,ROBBERY,2020-05-15,18,970
1429,SEX OFFENSE,2020-05-15,1,970
1430,THEFT,2020-05-15,98,970
1431,WEAPONS VIOLATION,2020-05-15,30,970
1432,ARSON,2020-05-16,1,516
1433,ASSAULT,2020-05-16,65,516
1434,BATTERY,2020-05-16,146,516
1435,BURGLARY,2020-05-16,19,516
1436,CRIMINAL DAMAGE,2020-05-16,83,516
1437,CRIMINAL SEXUAL ASSAULT,2020-05-16,2,516
1438,CRIMINAL TRESPASS,2020-05-16,8,516
1439,DECEPTIVE PRACTICE,2020-05-16,24,516
1440,HOMICIDE,2020-05-16,4,516
1441,INTERFERENCE WITH PUBLIC OFFICER,2020-05-16,2,516
1442,LIQUOR LAW VIOLATION,2020-05-16,1,516
1443,MOTOR VEHICLE THEFT,2020-05-16,25,516
1444,NARCOTICS,2020-05-16,18,516
1445,OFFENSE INVOLVING CHILDREN,2020-05-16,4,516
1446,OTHER OFFENSE,2020-05-16,28,516
1447,PUBLIC PEACE VIOLATION,2020-05-16,4,516
1448,ROBBERY,2020-05-16,22,516
1449,THEFT,2020-05-16,87,516
1450,WEAPONS VIOLATION,2020-05-16,30,516
1451,ARSON,2020-05-17,1,326
1452,ASSAULT,2020-05-17,40,326
1453,BATTERY,2020-05-17,105,326
1454,BURGLARY,2020-05-17,17,326
1455,CONCEALED CARRY LICENSE VIOLATION,2020-05-17,2,326
1456,CRIMINAL DAMAGE,2020-05-17,92,326
1457,CRIMINAL SEXUAL ASSAULT,2020-05-17,4,326
1458,CRIMINAL TRESPASS,2020-05-17,4,326
1459,DECEPTIVE PRACTICE,2020-05-17,13,326
1460,HOMICIDE,2020-05-17,1,326
1461,MOTOR VEHICLE THEFT,2020-05-17,18,326
1462,NARCOTICS,2020-05-17,6,326
1463,OFFENSE INVOLVING CHILDREN,2020-05-17,3,326
1464,OTHER OFFENSE,2020-05-17,23,326
1465,PUBLIC PEACE VIOLATION,2020-05-17,1,326
1466,ROBBERY,2020-05-17,8,326
1467,SEX OFFENSE,2020-05-17,3,326
1468,THEFT,2020-05-17,81,326
1469,WEAPONS VIOLATION,2020-05-17,17,326
1470,ARSON,2020-05-18,2,945
1471,ASSAULT,2020-05-18,43,945
1472,BATTERY,2020-05-18,116,945
1473,BURGLARY,2020-05-18,22,945
1474,CRIMINAL DAMAGE,2020-05-18,55,945
1475,CRIMINAL SEXUAL ASSAULT,2020-05-18,7,945
1476,CRIMINAL TRESPASS,2020-05-18,5,945
1477,DECEPTIVE PRACTICE,2020-05-18,37,945
1478,INTERFERENCE WITH PUBLIC OFFICER,2020-05-18,1,945
1479,MOTOR VEHICLE THEFT,2020-05-18,24,945
1480,NARCOTICS,2020-05-18,13,945
1481,OBSCENITY,2020-05-18,2,945
1482,OFFENSE INVOLVING CHILDREN,2020-05-18,3,945
1483,OTHER OFFENSE,2020-05-18,32,945
1484,ROBBERY,2020-05-18,17,945
1485,SEX OFFENSE,2020-05-18,4,945
1486,THEFT,2020-05-18,89,945
1487,WEAPONS VIOLATION,2020-05-18,21,945
1488,ARSON,2020-05-19,1,891
1489,ASSAULT,2020-05-19,45,891
1490,BATTERY,2020-05-19,88,891
1491,BURGLARY,2020-05-19,17,891
1492,CRIMINAL DAMAGE,2020-05-19,50,891
1493,CRIMINAL SEXUAL ASSAULT,2020-05-19,5,891
1494,CRIMINAL TRESPASS,2020-05-19,6,891
1495,DECEPTIVE PRACTICE,2020-05-19,38,891
1496,MOTOR VEHICLE THEFT,2020-05-19,28,891
1497,NARCOTICS,2020-05-19,14,891
1498,OFFENSE INVOLVING CHILDREN,2020-05-19,2,891
1499,OTHER OFFENSE,2020-05-19,40,891
1500,PUBLIC PEACE VIOLATION,2020-05-19,1,891
1501,ROBBERY,2020-05-19,10,891
1502,SEX OFFENSE,2020-05-19,2,891
1503,THEFT,2020-05-19,101,891
1504,WEAPONS VIOLATION,2020-05-19,17,891
1505,ARSON,2020-05-20,1,768
1506,ASSAULT,2020-05-20,56,768
1507,BATTERY,2020-05-20,97,768
1508,BURGLARY,2020-05-20,17,768
1509,CONCEALED CARRY LICENSE VIOLATION,2020-05-20,1,768
1510,CRIMINAL DAMAGE,2020-05-20,79,768
1511,CRIMINAL SEXUAL ASSAULT,2020-05-20,3,768
1512,CRIMINAL TRESPASS,2020-05-20,10,768
1513,DECEPTIVE PRACTICE,2020-05-20,31,768
1514,HOMICIDE,2020-05-20,1,768
1515,INTERFERENCE WITH PUBLIC OFFICER,2020-05-20,3,768
1516,INTIMIDATION,2020-05-20,1,768
1517,KIDNAPPING,2020-05-20,1,768
1518,MOTOR VEHICLE THEFT,2020-05-20,28,768
1519,NARCOTICS,2020-05-20,27,768
1520,OFFENSE INVOLVING CHILDREN,2020-05-20,7,768
1521,OTHER OFFENSE,2020-05-20,21,768
1522,PUBLIC PEACE VIOLATION,2020-05-20,1,768
1523,ROBBERY,2020-05-20,24,768
1524,SEX OFFENSE,2020-05-20,1,768
1525,STALKING,2020-05-20,1,768
1526,THEFT,2020-05-20,106,768
1527,WEAPONS VIOLATION,2020-05-20,14,768
1528,ARSON,2020-05-21,1,803
1529,ASSAULT,2020-05-21,37,803
1530,BATTERY,2020-05-21,95,803
1531,BURGLARY,2020-05-21,22,803
1532,CRIMINAL DAMAGE,2020-05-21,50,803
1533,CRIMINAL SEXUAL ASSAULT,2020-05-21,1,803
1534,CRIMINAL TRESPASS,2020-05-21,9,803
1535,DECEPTIVE PRACTICE,2020-05-21,43,803
1536,INTERFERENCE WITH PUBLIC OFFICER,2020-05-21,2,803
1537,MOTOR VEHICLE THEFT,2020-05-21,22,803
1538,NARCOTICS,2020-05-21,26,803
1539,OFFENSE INVOLVING CHILDREN,2020-05-21,5,803
1540,OTHER OFFENSE,2020-05-21,29,803
1541,ROBBERY,2020-05-21,26,803
1542,SEX OFFENSE,2020-05-21,2,803
1543,STALKING,2020-05-21,1,803
1544,THEFT,2020-05-21,100,803
1545,WEAPONS VIOLATION,2020-05-21,20,803
1546,ARSON,2020-05-22,2,724
1547,ASSAULT,2020-05-22,42,724
1548,BATTERY,2020-05-22,105,724
1549,BURGLARY,2020-05-22,20,724
1550,CRIMINAL DAMAGE,2020-05-22,71,724
1551,CRIMINAL SEXUAL ASSAULT,2020-05-22,5,724
1552,CRIMINAL TRESPASS,2020-05-22,10,724
1553,DECEPTIVE PRACTICE,2020-05-22,28,724
1554,HOMICIDE,2020-05-22,3,724
1555,INTERFERENCE WITH PUBLIC OFFICER,2020-05-22,1,724
1556,INTIMIDATION,2020-05-22,1,724
1557,KIDNAPPING,2020-05-22,1,724
1558,MOTOR VEHICLE THEFT,2020-05-22,28,724
1559,NARCOTICS,2020-05-22,21,724
1560,OBSCENITY,2020-05-22,1,724
1561,OFFENSE INVOLVING CHILDREN,2020-05-22,7,724
1562,OTHER OFFENSE,2020-05-22,36,724
1563,PROSTITUTION,2020-05-22,3,724
1564,PUBLIC PEACE VIOLATION,2020-05-22,6,724
1565,ROBBERY,2020-05-22,11,724
1566,SEX OFFENSE,2020-05-22,3,724
1567,STALKING,2020-05-22,1,724
1568,THEFT,2020-05-22,85,724
1569,WEAPONS VIOLATION,2020-05-22,36,724
1570,ARSON,2020-05-23,5,328
1571,ASSAULT,2020-05-23,49,328
1572,BATTERY,2020-05-23,119,328
1573,BURGLARY,2020-05-23,17,328
1574,CONCEALED CARRY LICENSE VIOLATION,2020-05-23,2,328
1575,CRIMINAL DAMAGE,2020-05-23,72,328
1576,CRIMINAL SEXUAL ASSAULT,2020-05-23,3,328
1577,CRIMINAL TRESPASS,2020-05-23,9,328
1578,DECEPTIVE PRACTICE,2020-05-23,32,328
1579,HOMICIDE,2020-05-23,5,328
1580,INTERFERENCE WITH PUBLIC OFFICER,2020-05-23,3,328
1581,LIQUOR LAW VIOLATION,2020-05-23,2,328
1582,MOTOR VEHICLE THEFT,2020-05-23,19,328
1583,NARCOTICS,2020-05-23,23,328
1584,OFFENSE INVOLVING CHILDREN,2020-05-23,7,328
1585,OTHER OFFENSE,2020-05-23,24,328
1586,PROSTITUTION,2020-05-23,1,328
1587,PUBLIC PEACE VIOLATION,2020-05-23,2,328
1588,ROBBERY,2020-05-23,15,328
1589,THEFT,2020-05-23,92,328
1590,WEAPONS VIOLATION,2020-05-23,47,328
1591,ARSON,2020-05-24,4,279
1592,ASSAULT,2020-05-24,54,279
1593,BATTERY,2020-05-24,146,279
1594,BURGLARY,2020-05-24,11,279
1595,CRIMINAL DAMAGE,2020-05-24,75,279
1596,CRIMINAL SEXUAL ASSAULT,2020-05-24,3,279
1597,CRIMINAL TRESPASS,2020-05-24,15,279
1598,DECEPTIVE PRACTICE,2020-05-24,17,279
1599,HOMICIDE,2020-05-24,3,279
1600,INTERFERENCE WITH PUBLIC OFFICER,2020-05-24,1,279
1601,INTIMIDATION,2020-05-24,1,279
1602,MOTOR VEHICLE THEFT,2020-05-24,36,279
1603,NARCOTICS,2020-05-24,22,279
1604,OFFENSE INVOLVING CHILDREN,2020-05-24,4,279
1605,OTHER OFFENSE,2020-05-24,28,279
1606,PUBLIC PEACE VIOLATION,2020-05-24,1,279
1607,ROBBERY,2020-05-24,16,279
1608,SEX OFFENSE,2020-05-24,2,279
1609,THEFT,2020-05-24,71,279
1610,WEAPONS VIOLATION,2020-05-24,54,279
1611,ARSON,2020-05-25,2,252
1612,ASSAULT,2020-05-25,68,252
1613,BATTERY,2020-05-25,177,252
1614,BURGLARY,2020-05-25,17,252
1615,CONCEALED CARRY LICENSE VIOLATION,2020-05-25,1,252
1616,CRIMINAL DAMAGE,2020-05-25,82,252
1617,CRIMINAL SEXUAL ASSAULT,2020-05-25,2,252
1618,CRIMINAL TRESPASS,2020-05-25,14,252
1619,DECEPTIVE PRACTICE,2020-05-25,17,252
1620,HOMICIDE,2020-05-25,2,252
1621,INTERFERENCE WITH PUBLIC OFFICER,2020-05-25,2,252
1622,KIDNAPPING,2020-05-25,3,252
1623,MOTOR VEHICLE THEFT,2020-05-25,22,252
1624,NARCOTICS,2020-05-25,16,252
