Date,Counts
2020-04-13,394
2020-12-25,394
2020-04-27,391
2020-03-23,390
2020-03-31,387
2020-11-26,382
2020-04-12,380
2020-03-22,372
2020-04-02,371
2020-04-14,362
2020-04-19,339
