, PRIMARY DESCRIPTION,Date,Counts
1790,DECEPTIVE PRACTICE,2020-04-24,39
6868,HOMICIDE,2020-04-24,1
7227,INTERFERENCE WITH PUBLIC OFFICER,2020-04-24,1
5695,KIDNAPPING,2020-04-24,2
3393,MOTOR VEHICLE THEFT,2020-04-24,18
4875,NARCOTICS,2020-04-24,4
4358,OFFENSE INVOLVING CHILDREN,2020-04-24,7
2936,OTHER OFFENSE,2020-04-24,23
6056,PUBLIC PEACE VIOLATION,2020-04-24,2
2757,ROBBERY,2020-04-24,24
6781,SEX OFFENSE,2020-04-24,1
606,THEFT,2020-04-24,90
3408,WEAPONS VIOLATION,2020-04-24,18
5794,ARSON,2020-04-25,2
1921,ASSAULT,2020-04-25,36
688,BATTERY,2020-04-25,84
3343,BURGLARY,2020-04-25,19
958,CRIMINAL DAMAGE,2020-04-25,68
5589,CRIMINAL SEXUAL ASSAULT,2020-04-25,2
6814,CRIMINAL TRESPASS,2020-04-25,1
2541,DECEPTIVE PRACTICE,2020-04-25,27
6869,HOMICIDE,2020-04-25,1
7261,INTERFERENCE WITH PUBLIC OFFICER,2020-04-25,1
2563,MOTOR VEHICLE THEFT,2020-04-25,27
4534,NARCOTICS,2020-04-25,6
4632,OFFENSE INVOLVING CHILDREN,2020-04-25,5
2935,OTHER OFFENSE,2020-04-25,23
6065,PUBLIC PEACE VIOLATION,2020-04-25,2
4179,ROBBERY,2020-04-25,9
6782,SEX OFFENSE,2020-04-25,1
833,THEFT,2020-04-25,75
4265,WEAPONS VIOLATION,2020-04-25,8
6256,ARSON,2020-04-26,1
1704,ASSAULT,2020-04-26,40
377,BATTERY,2020-04-26,108
4208,BURGLARY,2020-04-26,9
1059,CRIMINAL DAMAGE,2020-04-26,63
5086,CRIMINAL SEXUAL ASSAULT,2020-04-26,3
4861,CRIMINAL TRESPASS,2020-04-26,4
2565,DECEPTIVE PRACTICE,2020-04-26,26
6870,HOMICIDE,2020-04-26,1
7230,INTERFERENCE WITH PUBLIC OFFICER,2020-04-26,1
2906,MOTOR VEHICLE THEFT,2020-04-26,23
4535,NARCOTICS,2020-04-26,6
6311,OBSCENITY,2020-04-26,1
6280,OFFENSE INVOLVING CHILDREN,2020-04-26,1
2471,OTHER OFFENSE,2020-04-26,28
4187,ROBBERY,2020-04-26,9
5868,SEX OFFENSE,2020-04-26,2
957,THEFT,2020-04-26,68
2448,WEAPONS VIOLATION,2020-04-26,28
1920,ASSAULT,2020-04-27,36
809,BATTERY,2020-04-27,77
4149,BURGLARY,2020-04-27,10
1382,CRIMINAL DAMAGE,2020-04-27,50
6837,CRIMINAL SEXUAL ASSAULT,2020-04-27,1
3958,CRIMINAL TRESPASS,2020-04-27,12
1697,DECEPTIVE PRACTICE,2020-04-27,40
6871,HOMICIDE,2020-04-27,1
2642,MOTOR VEHICLE THEFT,2020-04-27,26
4400,NARCOTICS,2020-04-27,7
6281,OFFENSE INVOLVING CHILDREN,2020-04-27,1
3013,OTHER OFFENSE,2020-04-27,22
4163,ROBBERY,2020-04-27,9
5066,SEX OFFENSE,2020-04-27,4
672,THEFT,2020-04-27,85
3658,WEAPONS VIOLATION,2020-04-27,16
5192,ARSON,2020-04-28,3
1499,ASSAULT,2020-04-28,46
498,BATTERY,2020-04-28,99
2897,BURGLARY,2020-04-28,23
1101,CRIMINAL DAMAGE,2020-04-28,60
4976,CRIMINAL SEXUAL ASSAULT,2020-04-28,4
3806,CRIMINAL TRESPASS,2020-04-28,14
1670,DECEPTIVE PRACTICE,2020-04-28,41
5689,HOMICIDE,2020-04-28,2
7075,INTIMIDATION,2020-04-28,1
2530,MOTOR VEHICLE THEFT,2020-04-28,27
4402,NARCOTICS,2020-04-28,7
4637,OFFENSE INVOLVING CHILDREN,2020-04-28,5
2801,OTHER OFFENSE,2020-04-28,24
6363,PUBLIC PEACE VIOLATION,2020-04-28,1
4159,ROBBERY,2020-04-28,9
5204,SEX OFFENSE,2020-04-28,3
692,THEFT,2020-04-28,84
3968,WEAPONS VIOLATION,2020-04-28,12
5790,ARSON,2020-04-29,2
2282,ASSAULT,2020-04-29,30
751,BATTERY,2020-04-29,80
2254,BURGLARY,2020-04-29,31
1006,CRIMINAL DAMAGE,2020-04-29,65
5628,CRIMINAL SEXUAL ASSAULT,2020-04-29,2
4221,CRIMINAL TRESPASS,2020-04-29,9
2058,DECEPTIVE PRACTICE,2020-04-29,33
5690,HOMICIDE,2020-04-29,2
2409,MOTOR VEHICLE THEFT,2020-04-29,28
4228,NARCOTICS,2020-04-29,9
5335,OFFENSE INVOLVING CHILDREN,2020-04-29,3
3158,OTHER OFFENSE,2020-04-29,20
3972,ROBBERY,2020-04-29,12
6783,SEX OFFENSE,2020-04-29,1
617,THEFT,2020-04-29,89
4532,WEAPONS VIOLATION,2020-04-29,6
2038,ASSAULT,2020-04-30,33
530,BATTERY,2020-04-30,96
3705,BURGLARY,2020-04-30,15
1343,CRIMINAL DAMAGE,2020-04-30,51
4430,CRIMINAL TRESPASS,2020-04-30,7
1653,DECEPTIVE PRACTICE,2020-04-30,42
6445,KIDNAPPING,2020-04-30,1
2812,MOTOR VEHICLE THEFT,2020-04-30,24
4423,NARCOTICS,2020-04-30,7
4639,OFFENSE INVOLVING CHILDREN,2020-04-30,5
3045,OTHER OFFENSE,2020-04-30,22
6364,PUBLIC PEACE VIOLATION,2020-04-30,1
3186,ROBBERY,2020-04-30,20
6784,SEX OFFENSE,2020-04-30,1
655,THEFT,2020-04-30,86
3833,WEAPONS VIOLATION,2020-04-30,14
1380,ASSAULT,2020-05-01,50
401,BATTERY,2020-05-01,107
2885,BURGLARY,2020-05-01,23
6991,CONCEALED CARRY LICENSE VIOLATION,2020-05-01,1
1054,CRIMINAL DAMAGE,2020-05-01,63
5089,CRIMINAL SEXUAL ASSAULT,2020-05-01,3
5889,CRIMINAL TRESPASS,2020-05-01,2
945,DECEPTIVE PRACTICE,2020-05-01,68
5714,HOMICIDE,2020-05-01,2
7076,INTIMIDATION,2020-05-01,1
2420,MOTOR VEHICLE THEFT,2020-05-01,28
4872,NARCOTICS,2020-05-01,4
4024,OFFENSE INVOLVING CHILDREN,2020-05-01,11
1264,OTHER OFFENSE,2020-05-01,54
6385,PROSTITUTION,2020-05-01,1
5317,PUBLIC PEACE VIOLATION,2020-05-01,3
3854,ROBBERY,2020-05-01,13
5874,SEX OFFENSE,2020-05-01,2
424,THEFT,2020-05-01,105
3875,WEAPONS VIOLATION,2020-05-01,13
6254,ARSON,2020-05-02,1
1161,ASSAULT,2020-05-02,58
315,BATTERY,2020-05-02,113
3237,BURGLARY,2020-05-02,20
1063,CRIMINAL DAMAGE,2020-05-02,63
4913,CRIMINAL SEXUAL ASSAULT,2020-05-02,4
4546,CRIMINAL TRESPASS,2020-05-02,6
2832,DECEPTIVE PRACTICE,2020-05-02,24
6446,KIDNAPPING,2020-05-02,1
2552,MOTOR VEHICLE THEFT,2020-05-02,27
4239,NARCOTICS,2020-05-02,9
6282,OFFENSE INVOLVING CHILDREN,2020-05-02,1
2327,OTHER OFFENSE,2020-05-02,30
6368,PUBLIC INDECENCY,2020-05-02,1
3615,ROBBERY,2020-05-02,16
5057,SEX OFFENSE,2020-05-02,4
725,THEFT,2020-05-02,82
2360,WEAPONS VIOLATION,2020-05-02,29
1529,ASSAULT,2020-05-03,45
176,BATTERY,2020-05-03,127
3706,BURGLARY,2020-05-03,15
887,CRIMINAL DAMAGE,2020-05-03,72
4980,CRIMINAL SEXUAL ASSAULT,2020-05-03,4
5909,CRIMINAL TRESPASS,2020-05-03,2
2153,DECEPTIVE PRACTICE,2020-05-03,32
5740,HOMICIDE,2020-05-03,2
7262,INTERFERENCE WITH PUBLIC OFFICER,2020-05-03,1
7077,INTIMIDATION,2020-05-03,1
6447,KIDNAPPING,2020-05-03,1
3080,MOTOR VEHICLE THEFT,2020-05-03,21
3715,NARCOTICS,2020-05-03,15
4641,OFFENSE INVOLVING CHILDREN,2020-05-03,5
2610,OTHER OFFENSE,2020-05-03,26
6083,PUBLIC PEACE VIOLATION,2020-05-03,2
3373,ROBBERY,2020-05-03,18
5879,SEX OFFENSE,2020-05-03,2
790,THEFT,2020-05-03,78
3260,WEAPONS VIOLATION,2020-05-03,19
1814,ASSAULT,2020-05-04,38
544,BATTERY,2020-05-04,95
3251,BURGLARY,2020-05-04,20
1160,CRIMINAL DAMAGE,2020-05-04,58
5661,CRIMINAL SEXUAL ASSAULT,2020-05-04,2
4287,CRIMINAL TRESPASS,2020-05-04,8
1816,DECEPTIVE PRACTICE,2020-05-04,38
6872,HOMICIDE,2020-05-04,1
7296,INTERFERENCE WITH PUBLIC OFFICER,2020-05-04,1
2910,MOTOR VEHICLE THEFT,2020-05-04,23
3938,NARCOTICS,2020-05-04,12
5333,OFFENSE INVOLVING CHILDREN,2020-05-04,3
3101,OTHER OFFENSE,2020-05-04,21
6365,PUBLIC PEACE VIOLATION,2020-05-04,1
3745,ROBBERY,2020-05-04,15
6785,SEX OFFENSE,2020-05-04,1
6542,STALKING,2020-05-04,1
594,THEFT,2020-05-04,91
4301,WEAPONS VIOLATION,2020-05-04,8
6253,ARSON,2020-05-05,1
2211,ASSAULT,2020-05-05,31
834,BATTERY,2020-05-05,75
3898,BURGLARY,2020-05-05,13
1032,CRIMINAL DAMAGE,2020-05-05,64
4979,CRIMINAL SEXUAL ASSAULT,2020-05-05,4
4431,CRIMINAL TRESPASS,2020-05-05,7
1540,DECEPTIVE PRACTICE,2020-05-05,45
5413,HOMICIDE,2020-05-05,3
7298,INTERFERENCE WITH PUBLIC OFFICER,2020-05-05,1
2911,MOTOR VEHICLE THEFT,2020-05-05,23
3659,NARCOTICS,2020-05-05,16
4643,OFFENSE INVOLVING CHILDREN,2020-05-05,5
2462,OTHER OFFENSE,2020-05-05,28
6366,PUBLIC PEACE VIOLATION,2020-05-05,1
3545,ROBBERY,2020-05-05,17
6786,SEX OFFENSE,2020-05-05,1
666,THEFT,2020-05-05,86
3876,WEAPONS VIOLATION,2020-05-05,13
1836,ASSAULT,2020-05-06,37
719,BATTERY,2020-05-06,82
3637,BURGLARY,2020-05-06,16
1078,CRIMINAL DAMAGE,2020-05-06,62
4971,CRIMINAL SEXUAL ASSAULT,2020-05-06,4
4280,CRIMINAL TRESPASS,2020-05-06,8
2150,DECEPTIVE PRACTICE,2020-05-06,32
5412,HOMICIDE,2020-05-06,3
2267,MOTOR VEHICLE THEFT,2020-05-06,30
3832,NARCOTICS,2020-05-06,14
4949,OFFENSE INVOLVING CHILDREN,2020-05-06,4
2418,OTHER OFFENSE,2020-05-06,28
6532,PUBLIC PEACE VIOLATION,2020-05-06,1
3987,ROBBERY,2020-05-06,12
5864,SEX OFFENSE,2020-05-06,2
374,THEFT,2020-05-06,108
3437,WEAPONS VIOLATION,2020-05-06,18
6252,ARSON,2020-05-07,1
1683,ASSAULT,2020-05-07,41
810,BATTERY,2020-05-07,77
3138,BURGLARY,2020-05-07,21
1440,CRIMINAL DAMAGE,2020-05-07,48
5541,CRIMINAL SEXUAL ASSAULT,2020-05-07,2
4279,CRIMINAL TRESPASS,2020-05-07,8
2390,DECEPTIVE PRACTICE,2020-05-07,29
4756,HOMICIDE,2020-05-07,5
3823,MOTOR VEHICLE THEFT,2020-05-07,14
4237,NARCOTICS,2020-05-07,9
5638,OBSCENITY,2020-05-07,2
4246,OFFENSE INVOLVING CHILDREN,2020-05-07,9
2957,OTHER OFFENSE,2020-05-07,23
6286,PUBLIC PEACE VIOLATION,2020-05-07,1
3857,ROBBERY,2020-05-07,13
580,THEFT,2020-05-07,92
2950,WEAPONS VIOLATION,2020-05-07,23
2022,ASSAULT,2020-05-08,34
598,BATTERY,2020-05-08,91
3201,BURGLARY,2020-05-08,20
1113,CRIMINAL DAMAGE,2020-05-08,60
5084,CRIMINAL SEXUAL ASSAULT,2020-05-08,3
4144,CRIMINAL TRESPASS,2020-05-08,10
2465,DECEPTIVE PRACTICE,2020-05-08,28
6873,HOMICIDE,2020-05-08,1
3042,MOTOR VEHICLE THEFT,2020-05-08,22
4233,NARCOTICS,2020-05-08,9
4458,OFFENSE INVOLVING CHILDREN,2020-05-08,6
2534,OTHER OFFENSE,2020-05-08,27
3278,ROBBERY,2020-05-08,19
5061,SEX OFFENSE,2020-05-08,4
629,THEFT,2020-05-08,89
3282,WEAPONS VIOLATION,2020-05-08,19
1267,ASSAULT,2020-05-09,54
567,BATTERY,2020-05-09,94
3816,BURGLARY,2020-05-09,14
955,CRIMINAL DAMAGE,2020-05-09,68
5091,CRIMINAL SEXUAL ASSAULT,2020-05-09,3
4049,CRIMINAL TRESPASS,2020-05-09,11
3318,DECEPTIVE PRACTICE,2020-05-09,19
6874,HOMICIDE,2020-05-09,1
7299,INTERFERENCE WITH PUBLIC OFFICER,2020-05-09,1
6523,LIQUOR LAW VIOLATION,2020-05-09,1
2792,MOTOR VEHICLE THEFT,2020-05-09,24
3735,NARCOTICS,2020-05-09,15
6283,OFFENSE INVOLVING CHILDREN,2020-05-09,1
2769,OTHER OFFENSE,2020-05-09,24
6533,PUBLIC PEACE VIOLATION,2020-05-09,1
3746,ROBBERY,2020-05-09,15
6543,STALKING,2020-05-09,1
648,THEFT,2020-05-09,87
2395,WEAPONS VIOLATION,2020-05-09,29
5788,ARSON,2020-05-10,2
1498,ASSAULT,2020-05-10,46
190,BATTERY,2020-05-10,125
3817,BURGLARY,2020-05-10,14
6992,CONCEALED CARRY LICENSE VIOLATION,2020-05-10,1
1009,CRIMINAL DAMAGE,2020-05-10,65
5527,CRIMINAL SEXUAL ASSAULT,2020-05-10,2
4525,CRIMINAL TRESPASS,2020-05-10,6
3026,DECEPTIVE PRACTICE,2020-05-10,22
5744,HOMICIDE,2020-05-10,2
7300,INTERFERENCE WITH PUBLIC OFFICER,2020-05-10,1
2660,MOTOR VEHICLE THEFT,2020-05-10,26
4081,NARCOTICS,2020-05-10,10
5004,OFFENSE INVOLVING CHILDREN,2020-05-10,4
2030,OTHER OFFENSE,2020-05-10,34
4161,ROBBERY,2020-05-10,9
689,THEFT,2020-05-10,84
3286,WEAPONS VIOLATION,2020-05-10,19
2021,ASSAULT,2020-05-11,34
739,BATTERY,2020-05-11,81
3364,BURGLARY,2020-05-11,18
6993,CONCEALED CARRY LICENSE VIOLATION,2020-05-11,1
990,CRIMINAL DAMAGE,2020-05-11,66
5528,CRIMINAL SEXUAL ASSAULT,2020-05-11,2
4043,CRIMINAL TRESPASS,2020-05-11,11
1872,DECEPTIVE PRACTICE,2020-05-11,37
6875,HOMICIDE,2020-05-11,1
3461,MOTOR VEHICLE THEFT,2020-05-11,18
3856,NARCOTICS,2020-05-11,13
5369,OFFENSE INVOLVING CHILDREN,2020-05-11,3
2401,OTHER OFFENSE,2020-05-11,29
3748,ROBBERY,2020-05-11,15
5850,SEX OFFENSE,2020-05-11,2
6544,STALKING,2020-05-11,1
522,THEFT,2020-05-11,97
3166,WEAPONS VIOLATION,2020-05-11,20
1547,ASSAULT,2020-05-12,44
541,BATTERY,2020-05-12,95
3009,BURGLARY,2020-05-12,22
962,CRIMINAL DAMAGE,2020-05-12,68
4118,CRIMINAL TRESPASS,2020-05-12,10
2711,DECEPTIVE PRACTICE,2020-05-12,25
5745,HOMICIDE,2020-05-12,2
7301,INTERFERENCE WITH PUBLIC OFFICER,2020-05-12,1
7078,INTIMIDATION,2020-05-12,1
6448,KIDNAPPING,2020-05-12,1
3894,MOTOR VEHICLE THEFT,2020-05-12,13
3617,NARCOTICS,2020-05-12,16
6312,OBSCENITY,2020-05-12,1
5045,OFFENSE INVOLVING CHILDREN,2020-05-12,4
3252,OTHER OFFENSE,2020-05-12,20
4688,PUBLIC PEACE VIOLATION,2020-05-12,5
3737,ROBBERY,2020-05-12,15
631,THEFT,2020-05-12,89
3155,WEAPONS VIOLATION,2020-05-12,20
6251,ARSON,2020-05-13,1
1480,ASSAULT,2020-05-13,47
241,BATTERY,2020-05-13,120
3374,BURGLARY,2020-05-13,18
1143,CRIMINAL DAMAGE,2020-05-13,59
4965,CRIMINAL SEXUAL ASSAULT,2020-05-13,4
4157,CRIMINAL TRESPASS,2020-05-13,9
1476,DECEPTIVE PRACTICE,2020-05-13,47
5748,HOMICIDE,2020-05-13,2
7302,INTERFERENCE WITH PUBLIC OFFICER,2020-05-13,1
2656,MOTOR VEHICLE THEFT,2020-05-13,26
3945,NARCOTICS,2020-05-13,12
6284,OFFENSE INVOLVING CHILDREN,2020-05-13,1
3290,OTHER OFFENSE,2020-05-13,19
6386,PROSTITUTION,2020-05-13,1
6082,PUBLIC PEACE VIOLATION,2020-05-13,2
3607,ROBBERY,2020-05-13,16
6787,SEX OFFENSE,2020-05-13,1
6545,STALKING,2020-05-13,1
478,THEFT,2020-05-13,100
2225,WEAPONS VIOLATION,2020-05-13,31
1851,ASSAULT,2020-05-14,37
527,BATTERY,2020-05-14,97
3501,BURGLARY,2020-05-14,17
914,CRIMINAL DAMAGE,2020-05-14,70
5570,CRIMINAL SEXUAL ASSAULT,2020-05-14,2
4349,CRIMINAL TRESPASS,2020-05-14,7
1968,DECEPTIVE PRACTICE,2020-05-14,35
5194,INTIMIDATION,2020-05-14,3
2683,MOTOR VEHICLE THEFT,2020-05-14,25
3516,NARCOTICS,2020-05-14,17
5035,OFFENSE INVOLVING CHILDREN,2020-05-14,4
2951,OTHER OFFENSE,2020-05-14,23
6551,PUBLIC PEACE VIOLATION,2020-05-14,1
3604,ROBBERY,2020-05-14,16
5005,SEX OFFENSE,2020-05-14,4
6546,STALKING,2020-05-14,1
626,THEFT,2020-05-14,89
3378,WEAPONS VIOLATION,2020-05-14,18
1070,ASSAULT,2020-05-15,62
367,BATTERY,2020-05-15,109
3148,BURGLARY,2020-05-15,21
1011,CRIMINAL DAMAGE,2020-05-15,65
6838,CRIMINAL SEXUAL ASSAULT,2020-05-15,1
3955,CRIMINAL TRESPASS,2020-05-15,12
1649,DECEPTIVE PRACTICE,2020-05-15,42
6817,GAMBLING,2020-05-15,1
5749,HOMICIDE,2020-05-15,2
7303,INTERFERENCE WITH PUBLIC OFFICER,2020-05-15,1
2770,MOTOR VEHICLE THEFT,2020-05-15,24
2907,NARCOTICS,2020-05-15,23
6313,OBSCENITY,2020-05-15,1
4635,OFFENSE INVOLVING CHILDREN,2020-05-15,5
2339,OTHER OFFENSE,2020-05-15,29
5318,PUBLIC PEACE VIOLATION,2020-05-15,3
3381,ROBBERY,2020-05-15,18
6788,SEX OFFENSE,2020-05-15,1
502,THEFT,2020-05-15,98
2297,WEAPONS VIOLATION,2020-05-15,30
6250,ARSON,2020-05-16,1
1013,ASSAULT,2020-05-16,65
70,BATTERY,2020-05-16,146
3335,BURGLARY,2020-05-16,19
704,CRIMINAL DAMAGE,2020-05-16,83
5550,CRIMINAL SEXUAL ASSAULT,2020-05-16,2
4278,CRIMINAL TRESPASS,2020-05-16,8
2501,DECEPTIVE PRACTICE,2020-05-16,27
4908,HOMICIDE,2020-05-16,4
5855,INTERFERENCE WITH PUBLIC OFFICER,2020-05-16,2
6524,LIQUOR LAW VIOLATION,2020-05-16,1
2686,MOTOR VEHICLE THEFT,2020-05-16,25
3457,NARCOTICS,2020-05-16,18
5036,OFFENSE INVOLVING CHILDREN,2020-05-16,4
2422,OTHER OFFENSE,2020-05-16,28
4930,PUBLIC PEACE VIOLATION,2020-05-16,4
3012,ROBBERY,2020-05-16,22
647,THEFT,2020-05-16,87
2298,WEAPONS VIOLATION,2020-05-16,30
6249,ARSON,2020-05-17,1
1709,ASSAULT,2020-05-17,40
421,BATTERY,2020-05-17,105
3483,BURGLARY,2020-05-17,17
5641,CONCEALED CARRY LICENSE VIOLATION,2020-05-17,2
579,CRIMINAL DAMAGE,2020-05-17,92
4982,CRIMINAL SEXUAL ASSAULT,2020-05-17,4
4907,CRIMINAL TRESPASS,2020-05-17,4
3883,DECEPTIVE PRACTICE,2020-05-17,13
6876,HOMICIDE,2020-05-17,1
3456,MOTOR VEHICLE THEFT,2020-05-17,18
4539,NARCOTICS,2020-05-17,6
5364,OFFENSE INVOLVING CHILDREN,2020-05-17,3
2955,OTHER OFFENSE,2020-05-17,23
6702,PUBLIC PEACE VIOLATION,2020-05-17,1
4271,ROBBERY,2020-05-17,8
5245,SEX OFFENSE,2020-05-17,3
738,THEFT,2020-05-17,81
3521,WEAPONS VIOLATION,2020-05-17,17
5640,ARSON,2020-05-18,2
1597,ASSAULT,2020-05-18,43
287,BATTERY,2020-05-18,116
3008,BURGLARY,2020-05-18,22
1228,CRIMINAL DAMAGE,2020-05-18,55
4415,CRIMINAL SEXUAL ASSAULT,2020-05-18,7
4668,CRIMINAL TRESPASS,2020-05-18,5
1578,DECEPTIVE PRACTICE,2020-05-18,43
7304,INTERFERENCE WITH PUBLIC OFFICER,2020-05-18,1
2771,MOTOR VEHICLE THEFT,2020-05-18,24
3863,NARCOTICS,2020-05-18,13
5629,OBSCENITY,2020-05-18,2
5362,OFFENSE INVOLVING CHILDREN,2020-05-18,3
2114,OTHER OFFENSE,2020-05-18,32
3542,ROBBERY,2020-05-18,17
4939,SEX OFFENSE,2020-05-18,4
630,THEFT,2020-05-18,89
3151,WEAPONS VIOLATION,2020-05-18,21
6248,ARSON,2020-05-19,1
1527,ASSAULT,2020-05-19,45
642,BATTERY,2020-05-19,88
3495,BURGLARY,2020-05-19,17
1383,CRIMINAL DAMAGE,2020-05-19,50
4766,CRIMINAL SEXUAL ASSAULT,2020-05-19,5
4509,CRIMINAL TRESPASS,2020-05-19,6
1579,DECEPTIVE PRACTICE,2020-05-19,43
2423,MOTOR VEHICLE THEFT,2020-05-19,28
3809,NARCOTICS,2020-05-19,14
5933,OFFENSE INVOLVING CHILDREN,2020-05-19,2
1740,OTHER OFFENSE,2020-05-19,40
6703,PUBLIC PEACE VIOLATION,2020-05-19,1
4094,ROBBERY,2020-05-19,10
5857,SEX OFFENSE,2020-05-19,2
473,THEFT,2020-05-19,101
3522,WEAPONS VIOLATION,2020-05-19,17
6247,ARSON,2020-05-20,1
1204,ASSAULT,2020-05-20,56
520,BATTERY,2020-05-20,97
3504,BURGLARY,2020-05-20,17
6994,CONCEALED CARRY LICENSE VIOLATION,2020-05-20,1
775,CRIMINAL DAMAGE,2020-05-20,79
5113,CRIMINAL SEXUAL ASSAULT,2020-05-20,3
4135,CRIMINAL TRESPASS,2020-05-20,10
1948,DECEPTIVE PRACTICE,2020-05-20,35
6877,HOMICIDE,2020-05-20,1
5114,INTERFERENCE WITH PUBLIC OFFICER,2020-05-20,3
7079,INTIMIDATION,2020-05-20,1
6449,KIDNAPPING,2020-05-20,1
2417,MOTOR VEHICLE THEFT,2020-05-20,28
2560,NARCOTICS,2020-05-20,27
4355,OFFENSE INVOLVING CHILDREN,2020-05-20,7
3053,OTHER OFFENSE,2020-05-20,21
6704,PUBLIC PEACE VIOLATION,2020-05-20,1
2758,ROBBERY,2020-05-20,24
6789,SEX OFFENSE,2020-05-20,1
6547,STALKING,2020-05-20,1
413,THEFT,2020-05-20,106
3829,WEAPONS VIOLATION,2020-05-20,14
6231,ARSON,2020-05-21,1
1847,ASSAULT,2020-05-21,37
542,BATTERY,2020-05-21,95
3030,BURGLARY,2020-05-21,22
1385,CRIMINAL DAMAGE,2020-05-21,50
6839,CRIMINAL SEXUAL ASSAULT,2020-05-21,1
4167,CRIMINAL TRESPASS,2020-05-21,9
1495,DECEPTIVE PRACTICE,2020-05-21,46
5953,INTERFERENCE WITH PUBLIC OFFICER,2020-05-21,2
3005,MOTOR VEHICLE THEFT,2020-05-21,22
2638,NARCOTICS,2020-05-21,26
4675,OFFENSE INVOLVING CHILDREN,2020-05-21,5
2336,OTHER OFFENSE,2020-05-21,29
2646,ROBBERY,2020-05-21,26
5862,SEX OFFENSE,2020-05-21,2
6548,STALKING,2020-05-21,1
481,THEFT,2020-05-21,100
3168,WEAPONS VIOLATION,2020-05-21,20
5525,ARSON,2020-05-22,2
1622,ASSAULT,2020-05-22,42
419,BATTERY,2020-05-22,105
3197,BURGLARY,2020-05-22,20
894,CRIMINAL DAMAGE,2020-05-22,71
4761,CRIMINAL SEXUAL ASSAULT,2020-05-22,5
4136,CRIMINAL TRESPASS,2020-05-22,10
1993,DECEPTIVE PRACTICE,2020-05-22,34
5409,HOMICIDE,2020-05-22,3
7305,INTERFERENCE WITH PUBLIC OFFICER,2020-05-22,1
7065,INTIMIDATION,2020-05-22,1
6450,KIDNAPPING,2020-05-22,1
2413,MOTOR VEHICLE THEFT,2020-05-22,28
3124,NARCOTICS,2020-05-22,21
6314,OBSCENITY,2020-05-22,1
4377,OFFENSE INVOLVING CHILDREN,2020-05-22,7
1931,OTHER OFFENSE,2020-05-22,36
5427,PROSTITUTION,2020-05-22,3
4452,PUBLIC PEACE VIOLATION,2020-05-22,6
4058,ROBBERY,2020-05-22,11
5267,SEX OFFENSE,2020-05-22,3
6549,STALKING,2020-05-22,1
675,THEFT,2020-05-22,85
1902,WEAPONS VIOLATION,2020-05-22,36
4723,ARSON,2020-05-23,5
1420,ASSAULT,2020-05-23,49
242,BATTERY,2020-05-23,119
3479,BURGLARY,2020-05-23,17
5639,CONCEALED CARRY LICENSE VIOLATION,2020-05-23,2
889,CRIMINAL DAMAGE,2020-05-23,72
5112,CRIMINAL SEXUAL ASSAULT,2020-05-23,3
4180,CRIMINAL TRESPASS,2020-05-23,9
1956,DECEPTIVE PRACTICE,2020-05-23,35
4784,HOMICIDE,2020-05-23,5
5203,INTERFERENCE WITH PUBLIC OFFICER,2020-05-23,3
5722,LIQUOR LAW VIOLATION,2020-05-23,2
3271,MOTOR VEHICLE THEFT,2020-05-23,19
2905,NARCOTICS,2020-05-23,23
4381,OFFENSE INVOLVING CHILDREN,2020-05-23,7
2773,OTHER OFFENSE,2020-05-23,24
6387,PROSTITUTION,2020-05-23,1
6067,PUBLIC PEACE VIOLATION,2020-05-23,2
3754,ROBBERY,2020-05-23,15
577,THEFT,2020-05-23,92
1483,WEAPONS VIOLATION,2020-05-23,47
4818,ARSON,2020-05-24,4
1273,ASSAULT,2020-05-24,54
71,BATTERY,2020-05-24,146
4015,BURGLARY,2020-05-24,11
830,CRIMINAL DAMAGE,2020-05-24,75
5109,CRIMINAL SEXUAL ASSAULT,2020-05-24,3
3711,CRIMINAL TRESPASS,2020-05-24,15
3250,DECEPTIVE PRACTICE,2020-05-24,20
5400,HOMICIDE,2020-05-24,3
7306,INTERFERENCE WITH PUBLIC OFFICER,2020-05-24,1
7080,INTIMIDATION,2020-05-24,1
1932,MOTOR VEHICLE THEFT,2020-05-24,36
3044,NARCOTICS,2020-05-24,22
5075,OFFENSE INVOLVING CHILDREN,2020-05-24,4
2410,OTHER OFFENSE,2020-05-24,28
6705,PUBLIC PEACE VIOLATION,2020-05-24,1
3603,ROBBERY,2020-05-24,16
5866,SEX OFFENSE,2020-05-24,2
900,THEFT,2020-05-24,71
1268,WEAPONS VIOLATION,2020-05-24,54
5576,ARSON,2020-05-25,2
950,ASSAULT,2020-05-25,68
14,BATTERY,2020-05-25,177
3490,BURGLARY,2020-05-25,17
6995,CONCEALED CARRY LICENSE VIOLATION,2020-05-25,1
730,CRIMINAL DAMAGE,2020-05-25,82
5670,CRIMINAL SEXUAL ASSAULT,2020-05-25,2
3794,CRIMINAL TRESPASS,2020-05-25,14
3261,DECEPTIVE PRACTICE,2020-05-25,19
5753,HOMICIDE,2020-05-25,2
6006,INTERFERENCE WITH PUBLIC OFFICER,2020-05-25,2
5169,KIDNAPPING,2020-05-25,3
2963,MOTOR VEHICLE THEFT,2020-05-25,22
3586,NARCOTICS,2020-05-25,16
4227,OFFENSE INVOLVING CHILDREN,2020-05-25,9
2005,OTHER OFFENSE,2020-05-25,34
