,Date,Counts
290,2021-01-03,486
291,2020-11-28,485
292,2020-12-12,484
293,2020-12-11,484
294,2020-12-27,484
295,2020-12-24,482
296,2021-01-13,479
297,2020-11-11,478
298,2020-11-30,477
299,2020-11-25,475
300,2021-01-19,473
301,2020-05-10,472
302,2020-03-19,471
303,2020-05-19,470
304,2020-03-28,468
305,2021-01-16,467
306,2020-05-14,466
307,2020-04-28,465
308,2020-11-14,464
309,2020-05-09,463
310,2020-12-03,462
311,2020-05-06,461
312,2021-01-11,460
313,2021-01-17,460
314,2021-01-06,458
315,2020-04-18,457
316,2020-12-30,454
317,2020-04-07,454
318,2020-05-12,452
319,2020-04-06,450
320,2020-05-11,449
321,2020-04-11,446
322,2020-03-30,445
323,2020-04-04,444
324,2020-04-08,443
325,2021-01-18,442
326,2020-05-08,442
327,2020-04-23,440
328,2020-05-17,439
329,2020-03-21,439
330,2020-03-25,438
331,2020-05-04,437
332,2020-04-24,437
333,2021-01-20,434
334,2020-05-05,434
335,2020-04-22,430
336,2021-01-02,427
337,2020-12-26,427
338,2020-04-17,425
339,2020-04-30,425
340,2020-04-09,424
341,2020-03-27,424
342,2020-04-10,424
343,2020-04-29,422
344,2020-04-26,422
345,2020-03-24,422
346,2020-03-26,421
347,2020-05-07,418
348,2020-04-21,417
349,2020-12-29,413
350,2020-04-15,409
351,2020-04-05,405
352,2020-04-16,403
353,2020-04-27,397
354,2020-04-25,397
355,2020-04-13,395
356,2020-12-25,394
357,2020-03-23,393
358,2020-03-31,388
359,2020-04-12,383
360,2020-11-26,382
361,2020-03-22,376
362,2020-04-02,376
363,2020-04-14,363
364,2020-04-19,340
=======
4,2020-07-04,740
5,2020-03-01,710
6,2020-07-05,707
7,2020-03-06,705
8,2020-08-31,691
9,2020-07-03,682
10,2020-06-02,676
11,2020-07-01,674
12,2020-03-13,672
13,2020-09-25,671
14,2020-07-10,670
15,2020-09-05,668
16,2020-10-10,667
17,2020-08-16,666
18,2020-06-22,666
19,2020-07-13,664
20,2020-08-28,663
21,2020-08-08,661
22,2020-08-30,659
23,2020-11-06,656
24,2020-08-01,656
25,2020-09-27,655
26,2020-09-11,655
27,2020-07-17,653
28,2020-10-09,653
29,2020-06-20,653
30,2020-11-04,650
31,2020-08-21,650
32,2020-08-09,649
33,2020-07-18,648
34,2020-10-11,646
35,2020-08-26,644
36,2020-07-25,644
37,2020-09-04,643
38,2020-09-06,643
39,2020-08-29,643
40,2020-10-25,642
41,2020-08-22,642
42,2020-07-26,641
43,2020-05-25,641
44,2020-07-20,640
45,2020-08-13,639
46,2020-08-17,639
47,2020-11-05,639
48,2020-10-14,637
49,2020-08-20,635
50,2020-08-14,635
51,2020-08-24,634
52,2020-03-08,634
53,2020-10-15,634
54,2020-03-12,633
55,2020-03-03,632
56,2020-09-01,632
57,2020-07-02,632
58,2020-11-20,632
59,2020-08-25,630
60,2020-07-06,630
61,2020-07-21,630
62,2020-11-01,630
63,2020-09-23,628
64,2020-07-11,627
65,2020-09-26,625
66,2020-08-19,624
67,2020-07-31,624
68,2020-08-15,624
69,2020-03-04,624
70,2020-08-23,624
71,2020-07-19,623
72,2020-06-03,622
73,2020-06-28,622
